messstelle_id,e32,e32num,n32,n32num,genau
218741418,3217XX,321750.0,56437XX,5643750.0,100
218741613,3235XX,323550.0,56454XX,5645450.0,100
218741716,3232XX,323250.0,56439XX,5643950.0,100
218741728,3232XX,323250.0,56439XX,5643950.0,100
218741730,3232XX,323250.0,56439XX,5643950.0,100
218741819,3227XX,322750.0,56442XX,5644250.0,100
218741911,3229XX,322950.0,56444XX,5644450.0,100
218741923,3229XX,322950.0,56444XX,5644450.0,100
218742010,3219XX,321950.0,56450XX,5645050.0,100
218742022,3219XX,321950.0,56450XX,5645050.0,100
218742113,3247XX,324750.0,56426XX,5642650.0,100
218742125,3247XX,324750.0,56426XX,5642650.0,100
218742216,3239XX,323950.0,56437XX,5643750.0,100
218742228,3239XX,323950.0,56437XX,5643750.0,100
218742319,3236XX,323650.0,56441XX,5644150.0,100
218742320,3236XX,323650.0,56441XX,5644150.0,100
218742411,3218XX,321850.0,56448XX,5644850.0,100
218742514,3204XX,320450.0,56424XX,5642450.0,100
218742526,3204XX,320450.0,56424XX,5642450.0,100
218742538,3204XX,320450.0,56424XX,5642450.0,100
218742617,3224XX,322450.0,56404XX,5640450.0,100
218742629,3224XX,322450.0,56404XX,5640450.0,100
218742630,3224XX,322450.0,56404XX,5640450.0,100
218742642,3224XX,322450.0,56404XX,5640450.0,100
218742710,3232XX,323250.0,56423XX,5642350.0,100
218742721,3232XX,323250.0,56423XX,5642350.0,100
218742812,3234XX,323450.0,56419XX,5641950.0,100
218742915,3240XX,324050.0,56413XX,5641350.0,100
218743014,3234XX,323450.0,56429XX,5642950.0,100
218743117,3219XX,321950.0,56439XX,5643950.0,100
218743210,3224XX,322450.0,56435XX,5643550.0,100
218743312,3238XX,323850.0,56410XX,5641050.0,100
218743415,3233XX,323350.0,56418XX,5641850.0,100
218743427,3233XX,323350.0,56418XX,5641850.0,100
218743439,3233XX,323350.0,56418XX,5641850.0,100
218743440,3233XX,323350.0,56418XX,5641850.0,100
218743518,3212XX,321250.0,56435XX,5643550.0,100
218743520,3212XX,321250.0,56435XX,5643550.0,100
218743531,3212XX,321250.0,56435XX,5643550.0,100
218743610,3231XX,323150.0,56445XX,5644550.0,100
218743622,3231XX,323150.0,56445XX,5644550.0,100
218743713,3247XX,324750.0,56416XX,5641650.0,100
218743725,3247XX,324750.0,56416XX,5641650.0,100
218743919,3224XX,322450.0,56452XX,5645250.0,100
218743920,3224XX,322450.0,56452XX,5645250.0,100
218744018,3249XX,324950.0,56415XX,5641550.0,100
218744020,3249XX,324950.0,56415XX,5641550.0,100
218744110,3232XX,323250.0,56445XX,5644550.0,100
218744122,3232XX,323250.0,56445XX,5644550.0,100
218744134,3232XX,323250.0,56445XX,5644550.0,100
218744213,3229XX,322950.0,56453XX,5645350.0,100
218744316,3235XX,323550.0,56455XX,5645550.0,100
218744328,3235XX,323550.0,56455XX,5645550.0,100
218744330,3235XX,323550.0,56455XX,5645550.0,100
218744419,3219XX,321950.0,56446XX,5644650.0,100
218744420,3219XX,321950.0,56446XX,5644650.0,100
218744432,3219XX,321950.0,56446XX,5644650.0,100
218744511,3240XX,324050.0,56439XX,5643950.0,100
218744614,3235XX,323550.0,56444XX,5644450.0,100
218744626,3235XX,323550.0,56444XX,5644450.0,100
218744638,3235XX,323550.0,56444XX,5644450.0,100
218744717,3235XX,323550.0,56447XX,5644750.0,100
218744729,3235XX,323550.0,56447XX,5644750.0,100
218744730,3235XX,323550.0,56447XX,5644750.0,100
218744810,3240XX,324050.0,56441XX,5644150.0,100
218744821,3240XX,324050.0,56441XX,5644150.0,100
218744833,3240XX,324050.0,56441XX,5644150.0,100
218744912,3255XX,325550.0,56432XX,5643250.0,100
218745011,3240XX,324050.0,56433XX,5643350.0,100
218745023,3240XX,324050.0,56433XX,5643350.0,100
218745035,3240XX,324050.0,56433XX,5643350.0,100
218745114,3251XX,325150.0,56419XX,5641950.0,100
218745217,3228XX,322850.0,56450XX,5645050.0,100
218745310,3232XX,323250.0,56457XX,5645750.0,100
218745321,3232XX,323250.0,56457XX,5645750.0,100
218745333,3232XX,323250.0,56457XX,5645750.0,100
218745412,3230XX,323050.0,56433XX,5643350.0,100
218745515,3204XX,320450.0,56428XX,5642850.0,100
218745527,3204XX,320450.0,56428XX,5642850.0,100
218745539,3204XX,320450.0,56428XX,5642850.0,100
218745540,3204XX,320450.0,56428XX,5642850.0,100
218745552,3204XX,320450.0,56428XX,5642850.0,100
218745618,3252XX,325250.0,56412XX,5641250.0,100
218745620,3252XX,325250.0,56412XX,5641250.0,100
218745916,3188XX,318850.0,56461XX,5646150.0,100
218745928,3188XX,318850.0,56461XX,5646150.0,100
